group_name,claim_total
Gil's International,311969.9300000000000000
Shelba's Inc,255888.93000000000000000000
Shelly's Corp,237230.81000000000000000000
Lupe's Group,232952.0000000000000000
Eugena's Manufacturing,171030.74000000000000000000
Carletta's Comp,169002.22000000000000000000
Brice's Association,161793.6400000000000000
Loris' Inc,152823.3100000000000000
Nisha's Intl,141770.11000000000000000000
Hye's Unlimited,84418.0300000000000000
Leisha's Restaurant,80995.27000000000000000000
Reuben's Assn,77978.69000000000000000000
Cherry's Mfg,71357.66000000000000000000
Felicita's Assoc,68754.13000000000000000000
Raymond's Ltd,65909.3000000000000000
Tula's Services,49812.50000000000000000000
Lorina's Bank,47536.84000000000000000000
Albertine's Intl,45894.8500000000000000
Ramiro's LP,40085.90000000000000000000
Leonor's LP,34148.0400000000000000
Walter's Travel,33986.86000000000000000000
Lizeth's International,25724.0000000000000000
Lang's PC,23736.12000000000000000000
Verlene's LP,23425.95000000000000000000
Lien's Association,22266.11000000000000000000
Wally's Company,21380.76000000000000000000
Douglass' Unlimited,21309.5900000000000000
Samuel's Company,20191.65000000000000000000
Bok's PC,20189.9800000000000000
Marinda's Bank,19595.29000000000000000000
Margart's Corp,18288.8000000000000000
Tressie's Service,14833.4700000000000000
Regina's Enterprises,13982.11000000000000000000
Ghislaine's PLC,12977.1400000000000000
Glen's Mfg,12363.9400000000000000
Wiley's Association,11997.90000000000000000000
Edra's Assoc,10443.96000000000000000000
Arlinda's Associates,10165.2900000000000000
Cristopher's PA,9962.7500000000000000
Janine's PC,9960.03000000000000000000
Iluminada's Manufacturing,8319.60000000000000000000
Inell's Svcs,8176.78000000000000000000
Delois' Service,8159.4600000000000000
Carry's Intl,7428.0000000000000000
Sherill's PLC,7003.0000000000000000
Erline's LP,6950.1400000000000000
Ginette's Association,6820.0000000000000000
Wilber's Limited,6681.6700000000000000
Merlene's SA,6553.0100000000000000
Louann's Svcs,6456.0000000000000000
Nicholas' International,6307.3200000000000000
Katharyn's Ltd,6295.7500000000000000
Kori's Assn,6241.54000000000000000000
Wilhemina's Inc,6107.4600000000000000
Stacee's Group,5766.2200000000000000
Dierdre's Corporation,5644.2700000000000000
Cedric's Hotel,5325.70000000000000000000
Danielle's International,5301.2600000000000000
Rowena's Enterprises,5297.81000000000000000000
Hank's Gmbh,5103.2100000000000000
Lonny's Enterprises,5028.11000000000000000000
Louis' Travel,5026.8000000000000000
Gilda's Unlimited,4255.7000000000000000
Leonarda's BV,3973.0000000000000000
Keisha's Service,3920.0000000000000000
Hang's International,3803.7000000000000000
Elda's Assn,3663.0000000000000000
Heidi's PC,3658.4300000000000000
Ada's Restaurant,3367.47000000000000000000
Kraig's Ltd,3058.4800000000000000
Christopher's Store,2869.0100000000000000
Deonna's Inc,2511.2500000000000000
Kayce's DMD,2268.37000000000000000000
Sook's LP,2251.8000000000000000
Soon's Pharmacy,2248.0000000000000000
Cristen's Svcs,2163.2500000000000000
Jenise's Assoc,2068.0000000000000000
Laverna's Store,1971.0000000000000000
Lani's DMD,1870.1700000000000000
Barton's PLC,1617.0000000000000000
Kendrick's DMD,1593.0000000000000000
Aleisha's LLC,1445.00000000000000000000
Armanda's Company,1417.1900000000000000
Susannah's BV,1396.4200000000000000
Otis' PA,1362.7900000000000000
Bobby's SA,1260.0000000000000000
Suzan's PA,1120.8600000000000000
Lynnette's Company,1085.0000000000000000
Josephine's Ltd,1055.0000000000000000
Celia's Intl,1047.0000000000000000
Kymberly's Intl,973.0000000000000000
Soo's Assoc,940.0000000000000000
Brittny's Assn,856.8100000000000000
Kena's Manufacturing,840.0000000000000000
Jerry's Svcs,702.0000000000000000
Janessa's PLLC,689.0000000000000000
Hye's Incorporated,663.0000000000000000
Louise's Company,645.0000000000000000
Laurene's Intl,618.4800000000000000
Genevie's Ltd,586.0000000000000000
Mariel's Assoc,573.0000000000000000
Morgan's PC,518.7000000000000000
Merrilee's Inc,432.0000000000000000
Zachery's Association,327.3600000000000000
Rosamaria's Comp,298.0000000000000000
Michell's Travel,254.4000000000000000
Josephina's Group,250.2500000000000000
Dagny's Inc,240.5300000000000000
Dorian's PA,227.0000000000000000
Corinne's Restaurant,225.9700000000000000
Angelyn's PA,207.1300000000000000
Eugenia's Assn,185.1000000000000000
Carlo's Hotel,180.0000000000000000
Merle's Service,175.0000000000000000
Shena's Bank,164.0000000000000000
Lauryn's PLLC,109.0000000000000000
Tabetha's Hotel,105.0000000000000000
Brianna's Associates,80.0000000000000000
Sharice's Association,65.0000000000000000
